Year,Game,Prize,Players,Tournaments
2014,Dota 2,16550044.53,589 Players,136 Tournaments
2014,League of Legends,8012394.87,1578 Players,419 Tournaments
2014,StarCraft II,3390614.96,417 Players,482 Tournaments
2014,Counter-Strike: Global Offensive,1944729.91,1256 Players,258 Tournaments
2014,Call of Duty: Ghosts,1479378.29,115 Players,50 Tournaments
2014,Hearthstone: Heroes of WarCraft,1105420.48,289 Players,170 Tournaments
2014,World of Tanks,690436.68,42 Players,5 Tournaments
2014,CrossFire,489611.85,112 Players,5 Tournaments
2014,Smite,462909.60,76 Players,9 Tournaments
2014,World of Warcraft,250000.00,24 Players,1 Tournament
2014,WarCraft III,187891.80,17 Players,13 Tournaments
2014,Heroes of Newerth,181888.00,20 Players,1 Tournament
2014,Battlefield 4,114639.98,64 Players,8 Tournaments
2014,Call of Duty: Advanced Warfare,111587.81,101 Players,23 Tournaments
2014,Ultra Street Fighter IV,105804.67,38 Players,11 Tournaments
2014,Point Blank,78000.00,57 Players,4 Tournaments
2014,Halo 2,76883.69,36 Players,5 Tournaments
2014,Quake Live,64578.46,81 Players,81 Tournaments
2014,StarCraft: Brood War,54310.57,34 Players,15 Tournaments
2014,Team Fortress 2,52184.10,51 Players,6 Tournaments
2014,FIFA 14,51797.23,41 Players,48 Tournaments
2014,Super Smash Bros. Melee,49710.70,39 Players,12 Tournaments
2014,BlazBlue: Chronophantasma,35080.00,42 Players,7 Tournaments
2014,Age of Empires II: The Age of Kings,28000.00,51 Players,1 Tournament
2014,Super Street Fighter IV Arcade Edition,26732.20,41 Players,9 Tournaments
2014,Heroes of the Storm,22022.50,47 Players,17 Tournaments
2014,Killer Instinct (2013),21619.80,36 Players,8 Tournaments
2014,Halo 4,18950.00,16 Players,3 Tournaments
2014,ShootMania Storm,15000.00,9 Players,2 Tournaments
2014,King of Fighters XIII,13459.40,39 Players,9 Tournaments
2014,Project M,12348.50,26 Players,6 Tournaments
2014,Ultimate Marvel vs. Capcom 3,11630.00,41 Players,9 Tournaments
2014,Injustice: Gods Among Us,11350.00,39 Players,8 Tournaments
2014,FIFA 15,10879.17,15 Players,10 Tournaments
2014,TrackMania 2: Stadium,9866.20,6 Players,3 Tournaments
