Year,Game,Prize,Players,Tournaments,Non-Professionals
2014,Dota 2,16550044.53,589,136,430000
2014,League of Legends,8012394.87,1578,419,67000000
2014,StarCraft II,3390614.96,417,482,250000
2014,Counter-Strike: Global Offensive,1944729.91,1256,258,100000
2014,Call of Duty: Ghosts,1479378.29,115,50,4000
2014,Hearthstone: Heroes of WarCraft,1105420.48,289,170,20000000
2014,World of Tanks,690436.68,42,5,75000000
2014,CrossFire,489611.85,112,5,4000000
2014,Smite,462909.6,76,9,4000000
2014,World of Warcraft,250000,24,1,7300000
2014,WarCraft III,187891.8,17,13,
2014,Heroes of Newerth,181888,20,1,
2014,Battlefield 4,114639.98,64,8,
2014,Call of Duty: Advanced Warfare,111587.81,101,23,
2014,Ultra Street Fighter IV,105804.67,38,11,
2014,Point Blank,78000,57,4,
2014,Halo 2,76883.69,36,5,
2014,Quake Live,64578.46,81,81,
2014,StarCraft: Brood War,54310.57,34,15,
2014,Team Fortress 2,52184.1,51,6,
2014,FIFA 14,51797.23,41,48,
2014,Super Smash Bros. Melee,49710.7,39,12,
2014,BlazBlue: Chronophantasma,35080,42,7,
2014,Age of Empires II: The Age of Kings,28000,51,1,
2014,Super Street Fighter IV Arcade Edition,26732.2,41,9,
2014,Heroes of the Storm,22022.5,47,17,
2014,Killer Instinct (2013),21619.8,36,8,
2014,Halo 4,18950,16,3,
2014,ShootMania Storm,15000,9,2,
2014,King of Fighters XIII,13459.4,39,9,
2014,Project M,12348.5,26,6,
2014,Ultimate Marvel vs. Capcom 3,11630,41,9,
2014,Injustice: Gods Among Us,11350,39,8,
2014,FIFA 15,10879.17,15,10,
2014,TrackMania 2: Stadium,9866.2,6,3,
2014,Tekken Tag Tournament 2,8348.39,47,13,
2014,Super Smash Bros. Brawl,6803.39,9,3,
2014,Halo 3,6476.18,2,4,
2014,Call of Duty 4: Modern Warfare,6028.93,0,3,
2014,NHL 14,3023.96,6,3,
2014,Super Smash Bros.,1710,6,1,
2014,Counter-Strike,1500,5,1,
2014,Divekick,500,3,1,
2013,League of Legends,6126038.16,1135,354,32500000
2013,Dota 2,4467844.14,323,102,290000
2013,StarCraft II,3748219.09,539,387,250000
2013,Call of Duty: Black Ops 2,1342947.44,85,31,
2013,Counter-Strike: Global Offensive,1176068.35,864,185,25000
2013,Halo 4,361600,32,10,
2013,World of Tanks,313000,21,4,75000000
2013,Turbo Racing League,250000,1,1,
2013,CrossFire,244209.5,92,3,
2013,World of Warcraft,189000,12,1,7700000
2013,FIFA 13,181149.41,33,43,
2013,Madden NFL 13,140000,1,1,
2013,ShootMania Storm,125928.71,65,30,
2013,Heroes of Newerth,119783.77,21,3,
2013,StarCraft: Brood War,107880.38,33,15,
2013,Super Street Fighter IV Arcade Edition,105708.05,58,15,
2013,NHL 13,70000,1,1,
2013,WarCraft III,66261.28,22,60,
2013,Call of Duty: Ghosts,62860,43,8,10000
2013,Quake Live,50547,45,21,
2013,Point Blank,48000,39,3,
2013,Smite,43472.38,25,3,1000000
2013,Age of Empires II: The Age of Kings,30500,25,2,
